Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot10, Male, Spatial, 5, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, -0.5581028, 5.186505, 0.9055422, , , 
pilot10, Male, Spatial, 6, far_r_mid_top, -51, 4.48, 3.09, -51, 6.441811, 5.782542, 3.331439, , , 
pilot10, Male, Temporal, 1, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 2.0304909, 0.3004909
pilot10, Male, Temporal, 2, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 2.847745, -5.402255
pilot10, Male, Temporal, 3, far_r_top_mid, -51, 3.36, 5.94, , , , ,8.25, 2.9262574, -5.3237426
pilot10, Male, Temporal, 4, front_l_midmid_bottom, -1.78, 0.086, -4.11, , , , ,1.73, 0.7861288, -0.9438712
pilot10, Male, Temporal, 5, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 1.3590111, -0.3709889
pilot10, Male, Temporal, 6, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 2.3527038, 0.6227038
pilot10, Male, Spatial, 1, front_l_top, -1.78, 4.48, -5.31, -1.780002, -0.1396492, 5.300647, 11.57268, , , 
pilot10, Male, Spatial, 2, far_l_mid_bottom, -51, 0.086, -2.86, -51, 0.2407857, -3.550685, 0.7078171, , , 
pilot10, Male, Spatial, 3, far_r_midmid_top, -51, 4.48, 4.55, -51, 2.662861, 5.64305, 2.120555, , , 
pilot10, Male, Spatial, 4, mid_l_bottom_mid, -27.05, 1.16, -5.31, -27.05, 0.3802867, -2.929299, 2.505133, , , 
pilot10, Male, Spatial, 5, mid_r_bottom, -27.05, 0.086, 5.94, -27.05, -0.5454173, 7.02524, 1.255561, , , 
pilot10, Male, Spatial, 6, front_r_mid_bottom, -1.78, 0.086, 3.09, -1.780002, 1.863939, 5.452818, 2.957022, , , 
pilot10, Male, Temporal, 1, far_r_midmid_top, -51, 4.48, 4.55, , , , ,8.25, 0.9583729, -7.2916271
pilot10, Male, Temporal, 2, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 1.3912484, -0.3387516
pilot10, Male, Temporal, 3, far_l_top_mid, -51, 3.36, -5.31, , , , ,8.25, 3.0367362, -5.2132638
pilot10, Male, Temporal, 4, mid_r_midmid_bottom, -27.05, 0.086, 4.55, , , , ,4.97, 1.4552911, -3.5147089
pilot10, Male, Temporal, 5, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 2.5910458, 0.8610458
pilot10, Male, Temporal, 6, far_l_top, -51, 4.48, -5.417, , , , ,8.25, 4.3821332, -3.8678668
pilot10, Male, Spatial, 1, mid_r_bottom_mid, -27.05, 1.16, 5.94, -27.05, 2.967207, 7.15205, 2.17602, , , 
pilot10, Male, Spatial, 2, front_l_mid_top, -1.78, 4.48, -2.86, -1.78, -0.2918239, -3.043435, 4.775348, , , 
pilot10, Male, Spatial, 3, far_r_mid_mid, -51, 3.02, 3.09, -51, 0.4944049, 4.210095, 2.762833, , , 
pilot10, Male, Spatial, 4, far_r_top_mid, -51, 3.36, 5.94, -51, 3.436404, -3.677495, 9.617798, , , 
pilot10, Male, Spatial, 5, front_l_bottom_mid, -1.78, 1.16, -5.31, -1.780002, 0.456356, 4.336894, 9.672522, , , 
pilot10, Male, Spatial, 6, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 0.3802867, -3.322408, 9.546044, , , 
pilot10, Male, Temporal, 1, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 3.0080035, 1.2780035
pilot10, Male, Temporal, 2, far_r_bottom, -51, 0.086, 5.94, , , , ,8.25, 2.5116199, -5.7383801
pilot10, Male, Temporal, 3, mid_r_mid_top, -27.05, 4.48, 3.09, , , , ,4.97, 3.5666226, -1.4033774
pilot10, Male, Temporal, 4, front_l_midmid_top, -1.78, 4.48, -4.11, , , , ,1.73, 2.0475335, 0.3175335
pilot10, Male, Temporal, 5, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 2.7836073, -5.4663927
pilot10, Male, Temporal, 6, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 1.2628408, -3.7071592
pilot10, Male, 
